Date,C,I,G,X,M,Y,Hrs_worked,Labor_prod,Tcomp_hour,K1,K2,K3,H
1/1/1988,524696,188934,291722,227407,188885,1056743,76.321,75.215,45.032,6900123.16,4897720.275,2835620.092,6020.561736
4/1/1988,532113,183913,294787,231174,188910,1066100,77.047,75.11,45.665,6985555.313,4959190.268,2877752.088,6077.832052
7/1/1988,535430,190825,296473,225749,193547,1066195,77.135,74.885,46.448,7064684.983,5026035.511,2924689.483,6084.773909
10/1/1988,542371,186245,296379,231574,195632,1073647,77.673,74.882,47.185,7149539.708,5086629.623,2964700.009,6127.213895
1/1/1989,546321,191091,298336,235621,200783,1085877,78.181,75.361,47.863,7228541.612,5150554.883,3007556.009,6167.28734
4/1/1989,553476,199283,302199,226493,202132,1090042,78.626,75.2,48.299,7311204.488,5221074.011,3056461.208,6202.391046
7/1/1989,551886,199830,306204,227771,200835,1093936,79.202,74.866,48.744,7400819.421,5290377.16,3103468.148,6247.828653
10/1/1989,555490,193165,307276,233704,207765,1091610,78.765,74.887,49.606,7489637.13,5351282.731,3141459.74,6213.356024
1/1/1990,564182,188041,312894,237227,209098,1101880,79.004,75.372,50.164,7570457.573,5405541.663,3172427.753,6232.209475
4/1/1990,557907,183757,309511,245834,209645,1097326,78.73,74.87,50.603,7644941.709,5454160.121,3197563.366,6210.595058
7/1/1990,558173,168164,316221,244394,205612,1089543,78.341,74.304,51.094,7714024.583,5485970.118,3205849.197,6179.908897
10/1/1990,556399,161747,319254,237898,202873,1079849,77.242,74.309,52.091,7766478.215,5510567.865,3207303.738,6093.214575
1/1/1991,545292,166050,318468,232974,203204,1064443,75.536,74.345,53.203,7811728.042,5538853.669,3212988.551,5958.63722
4/1/1991,554446,150740,324540,243244,207211,1069391,75.314,74.743,53.58,7860602.121,5551122.327,3203079.123,5941.124809
7/1/1991,554205,157244,322285,252518,216737,1070831,75.222,74.967,54.241,7893433.089,5569588.269,3200169.167,5933.867414
10/1/1991,557416,158536,325264,252099,220817,1072812,75.034,75.052,54.368,7932275.593,5588884.562,3198696.709,5919.037084
1/1/1992,557624,157492,325053,254187,220431,1073599,74.328,75.748,54.929,7971827.459,5606654.448,3196253.873,5863.344462
