Date,Y_N,M2_1,M2_2,M1_1,M1_11,cpi,cpi8,vM2_1,vM2_11,vM1_1,vM1_11,inflation,inflation8,vM2_1y2y,vM2_11y2y,vM1_1y2y,vM1_11y2y,M2_1y2y,M2_11y2y,M1_1y2y,M1_11y2y,Y_Ny2y,GBond1t3y,GBond3t5y,GBond5t10y,GBond10y,GBond1t3yy2y,GBond3t5yy2y,GBond5t10yy2y,GBond10yy2y
4/1/1996,852848,626052,779742,163564.6667,225756,88.9,90.03333333,1.3623,1.0938,5.2141,3.7777,1.4493,1.6178,-2.14234158,-0.037310571,-0.040746707,0.001574934,5.152786401,6.888110977,7.270994286,2.738248559,2.900054536,4.288426523,4.864089606,5.250250896,5.631734767,-16.54220353,-9.134911537,-5.761358438,-3.329516769
7/1/1996,864584,630600.6667,792073,167760.6667,229081,89.03,90.5,1.3710,1.0915,5.1537,3.7741,1.4009,1.6093,-0.401468403,-0.027630013,-0.05038477,0.003189194,4.212969262,6.743923098,9.301729605,3.464618377,3.794587119,3.791562724,4.418365591,4.84597491,5.2769319,-20.72443534,-13.54735096,-9.232215207,-5.963177645
10/1/1996,877640,633637,806202,171842,233581,89.57,91.06666667,1.3851,1.0886,5.1072,3.7573,1.9811,1.9403,0.756459538,-0.025325196,-0.050446084,0.001748698,3.616104255,7.112564902,9.946277264,4.217672911,4.399918159,2.951842294,3.616060932,4.177512545,4.698412186,-31.61068202,-21.91329573,-14.00217074,-8.704648562
1/1/1997,891700,636769.3333,824640,177568.3333,239821,90.07,91.5,1.4004,1.0813,5.0217,3.7182,2.1202,2.0826,2.395421218,-0.020479741,-0.059594322,-0.015262183,3.161971664,7.841705576,12.32719866,7.270314597,5.633135422,3.107684332,3.79937788,4.371597542,4.901966206,-23.71632536,-16.75043837,-11.64048722,-8.731971713
4/1/1997,899336,637799.6667,839538.3333,182200.3333,243892,90.33,92,1.4101,1.0712,4.9360,3.6874,1.6085,2.1844,3.508606624,-0.020598556,-0.05334732,-0.023904997,1.876468195,7.668733162,11.39345498,8.033452046,5.450912707,3.422125448,3.993913978,4.427921147,4.832835125,-20.2009075,-17.88979435,-15.66267528,-14.1856759
7/1/1997,912592,634081,849070.3333,186479.3333,246191,90.57,92.16666667,1.4392,1.0748,4.8938,3.7068,1.7298,1.8416,4.973372175,-0.015329321,-0.050425817,-0.017832116,0.551907652,7.195969732,11.15795916,7.469130234,5.552728248,3.245340502,3.651749104,3.982810036,4.35988172,-14.40625573,-17.35068028,-17.81199636,-17.37847288
10/1/1997,923960,630071.3333,859952.6667,189937,248621,90.5,92.43333333,1.4664,1.0744,4.8646,3.7163,1.0383,1.5007,5.873572992,-0.013025152,-0.047518595,-0.010908423,-0.562730186,6.667146282,10.53002176,6.438870686,5.277790438,3.401333333,3.631670251,3.851114695,4.12853405,15.22747473,0.431666371,-7.813210516,-12.12916436
1/1/1998,934540,626865.6667,873346.3333,194336.6667,252325,91,92.93333333,1.4908,1.0701,4.8089,3.7037,1.0325,1.5665,6.460078855,-0.010406068,-0.0423873,-0.003895554,-1.555298936,5.906375307,9.443312903,5.214173924,4.804306381,3.592077573,3.689278034,3.799804147,3.9884447,15.58695123,-2.897838801,-13.07973548,-18.6358181
4/1/1998,935120,622670,883963.6667,195788.3333,252883,91.23,93.1,1.5018,1.0579,4.7762,3.6978,0.9963,1.1957,6.505420924,-0.012467304,-0.032373564,0.002820694,-2.372165973,5.29163846,7.457725105,3.686467781,3.97893557,3.625960573,3.675189964,3.730354839,3.861670251,5.956389634,-7.98024234,-15.75381054,-20.09513773
7/1/1998,938972,624550.6667,895694.6667,198116,253974,91.33,93.23333333,1.5034,1.0483,4.7395,3.6971,0.8391,1.1573,4.460728003,-0.024651853,-0.031527839,-0.002624036,-1.503015125,5.491221575,6.240191049,3.161366581,2.890667461,3.707752688,3.731415771,3.749272401,3.817741935,14.24849522,2.181602963,-5.8636398,-12.43473607
