Date,Durable goods,Semi-durable goods,Non-durable goods,Services,Gross domestic product at market prices,Durables Consumption,Nondurables Consumption,Durables_Y2Y,Nondurables_Y2Y,GDP_Y2Y
1/1/1999,69324,40395,202117,359999,1352193,109719,562116,6.905253722,2.577971456,4.197191239
4/1/1999,69728,40832,203872,363701,1363552,110560,567573,3.986004778,2.878785407,5.017868145
7/1/1999,72419,41453,205422,366051,1384758,113872,571473,6.219917167,3.082892302,5.668483312
10/1/1999,73608,41458,206819,370003,1404441,115066,576822,7.850782641,3.639088126,5.741687315
1/1/2000,75200,42298,207943,373405,1426802,117498,581348,7.08992973,3.421357869,5.51762951
4/1/2000,76242,42610,209213,376670,1443772,118852,585883,7.5,3.226016741,5.883163972
7/1/2000,78544,43663,210271,380423,1458385,122207,590694,7.319622032,3.363413495,5.316957909
10/1/2000,75477,43869,211938,384033,1461075,119346,595971,3.719604401,3.319741619,4.032494067
1/1/2001,77508,44315,212150,386691,1468665,121823,598841,3.680913718,3.009041056,2.934044107
4/1/2001,78510,45178,211676,385880,1472655,123688,597556,4.068926059,1.992377318,2.000523628
7/1/2001,78103,44748,211234,389092,1471630,122851,600326,0.526974723,1.630624316,0.908196395
10/1/2001,82580,45949,211490,390400,1480672,128529,601890,7.694434669,0.993169131,1.341272693
1/1/2002,85049,47055,214634,393976,1502659,132104,608610,8.439293073,1.631317829,2.314619059
4/1/2002,85736,47379,216219,400350,1511271,133115,616569,7.621596274,3.18179384,2.622202756
7/1/2002,85344,46997,217182,402123,1524569,132341,619305,7.724804845,3.161448946,3.59730367
10/1/2002,87773,47946,219790,403277,1532925,135719,623067,5.594068265,3.518416986,3.529005749
1/1/2003,87785,48777,220674,405563,1541321,136562,626237,3.374613941,2.896271833,2.572905762
4/1/2003,88947,49218,220637,410232,1539061,138165,630869,3.793712204,2.319286244,1.838849551
7/1/2003,91191,49430,221001,414187,1544910,140621,635188,6.256564481,2.564649082,1.334213145
10/1/2003,87496,49360,222199,419284,1555472,136856,641483,0.837760373,2.955701393,1.470848215
1/1/2004,90004,50559,224098,423406,1566701,140563,647504,2.929804777,3.395998639,1.646639474
4/1/2004,90568,50941,224362,425988,1585248,141509,650350,2.420294575,3.087962794,3.000985666
7/1/2004,91370,51769,225815,430118,1604066,143139,655933,1.790628711,3.265962203,3.829090368
10/1/2004,92706,51656,227572,433612,1615567,144362,661184,5.484596949,3.071164785,3.863457523
1/1/2005,94130,52925,228418,441000,1621103,147055,669418,4.618569609,3.384380637,3.472391988
4/1/2005,95583,53691,228214,445753,1632688,149274,673967,5.487283494,3.63142923,2.992591695
7/1/2005,96272,53656,228324,450525,1652747,149928,678849,4.742942175,3.493649504,3.034850187
10/1/2005,96019,54685,228783,457194,1669120,150704,685977,4.393122844,3.749788259,3.314811456
1/1/2006,98772,56621,229386,462936,1682562,155393,692322,5.66998742,3.421479554,3.791184151
4/1/2006,100801,57642,231729,464887,1683463,158443,696616,6.142395863,3.360550294,3.109902198
7/1/2006,103624,58453,233357,468615,1688238,162077,701972,8.10322288,3.406206682,2.14739461
10/1/2006,104617,58936,233003,476299,1694636,163553,709302,8.525984712,3.400259775,1.528709739
1/1/2007,105131,60428,235198,479831,1705641,165559,715029,6.542122232,3.279832217,1.371658221
4/1/2007,109291,60911,238130,485127,1722098,170202,723257,7.42159641,3.82434512,2.294971734
7/1/2007,108601,62167,239601,491477,1729287,170768,731078,5.362266083,4.146319226,2.43146997
10/1/2007,111123,62574,242241,502163,1731763,173697,744404,6.202270824,4.948808829,2.190853965
1/1/2008,116500,63268,242425,502590,1732800,179768,745015,8.582438889,4.193676061,1.592304594
4/1/2008,116103,64358,242412,502863,1738850,180461,745275,6.027543742,3.044284397,0.972766939
7/1/2008,115392,64827,242260,503777,1753385,180219,746037,5.534409257,2.046156498,1.393522301
10/1/2008,109208,64669,242108,499349,1733167,173877,741457,0.103628733,-0.39588718,0.081073449
1/1/2009,106398,63603,243700,498945,1693791,170001,742645,-5.433113791,-0.3181144,-2.251211911
4/1/2009,109302,63643,243661,503706,1675187,172945,747367,-4.164888813,0.280701754,-3.661212871
7/1/2009,112943,63837,244029,509277,1682818,176780,753306,-1.908233871,0.974348457,-4.024615244
10/1/2009,115069,63984,244406,512931,1702642,179053,757337,2.976816945,2.141729055,-1.761226702
1/1/2010,115189,66945,245800,518806,1722925,182134,764606,7.137016841,2.95713295,1.720046924
4/1/2010,114492,66512,247530,526294,1731854,181004,773824,4.659862962,3.540027858,3.382726824
7/1/2010,116832,67894,249110,528735,1744323,184726,777845,4.494852359,3.257507573,3.654881277
10/1/2010,118760,68543,249565,534321,1764014,187303,783886,4.607574294,3.505572816,3.604515805
1/1/2011,116545,68621,249675,538133,1777058,185166,787808,1.664708402,3.034504045,3.141924344
4/1/2011,117768,68770,249591,541310,1780486,186538,790901,3.057390997,2.206832561,2.808088904
